,imdb_id,overview
1850448,tt0139654,"Training Day On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears."
1854552,tt0071994,"Phantom of the Paradise Rock Opera version of Phantom Of The Opera with elements of Faust. Record producer Swan steals both the music and the girl (Phoenix) from composer Leach. Disfigured Leach plans revenge on Swan and his rock palace, The Paradise, and becomes The Phantom. Leach signs contract with Swan to complete rock opera based on the life of Faust for Phoenix. Double crossed by Swan who hires heavy metal singer Beef, Leach exacts his vengeance."
1856079,tt0075132,"The Return of a Man Called Horse Lord John Morgan has returned to civilized life in England, but finds he has nothing but disdain for that life. Yearning to embrace the simplicity of the American West-and the Yellow Hands Sioux tribe he left behind, Morgan returns to the tribe's land only to discover that they've been decimated by ruthless, government-backed fur traders. They must regain their land, led by Horse."
1857438,tt0093677,Opera A young opperata is stalked by a deranged fan bent on killing the people associated with her to claim her for himself.
1859679,tt0058092,Father Goose During World War II South Sea beachcomber Walter Eckland is persuaded to spy on planes passing over his island. He gets more than he bargained for as schoolteacher Catherine Frenau arrives on the run from the Japanese with her pupils in tow!
1862247,tt0053877,"The Grass Is Greener Victor and Hillary are down on their luck to the point that they allow tourists to take guided tours of their castle. But Charles Delacro, a millionaire oil tycoon, visits, and takes a liking to more than the house. Soon, Hattie Durant gets involved and they have a good old fashioned love triangle."
1869327,tt0029081,King Solomon's Mines Adventurer Allan Quartermain leads an expedition into uncharted African territory in an attempt to locate an explorer who went missing during his search for the fabled diamond mines of King Solomon.
1871496,tt0033836,"The Little Foxes The ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the 20th century. Regina Giddons née Hubbard has her daughter under her thumb. Mrs. Giddons is estranged from her husband, who is convalescing in Baltimore and suffers from a terminal illness. But she needs him home, and will manipulate her daughter to help bring him back. She has a sneaky business deal that she's cooking up with her two elder brothers, Oscar and Ben. Oscar has a flighty, unhappy wife and a dishonest worm of a son. Will the daughter have to marry this contemptible cousin? Who will she grow up to be - her mother or her aunt? Or can she escape the fate of both?"
1876500,tt0053143,"Operation Petticoat A World War II submarine commander finds himself stuck with a decrepit sub, a con-man executive officer, and a group of army nurses."
1881489,tt0108473,"The Vanishing A young woman (Sandra Bullock) mysteriously disappears, sending her boyfriend Jeff (Kiefer Sutherland) on a years-long quest to find her. Not even a new love (Nancy Travis) can keep him from his obsessive search. All the while, the calculating psychopath (Jeff Bridges) who kidnapped his girlfriend stalks Jeff, ultimately taking him through the exact same steps that led to the crime. In order to find out what happened, Jeff must put his own life in the hands of this devious stranger."
1883919,tt0079766,"Quadrophenia Based on the 1973 rock opera album of the same name by The Who, this is the story of 60s teenager Jimmy. At work he slaves in a dead-end job. While after, he shops for tailored suits and rides his scooter as part of the London Mod scene."
1887822,tt0044207,"When Worlds Collide When a group of astronomers calculate a star is on a course to slam into Earth, a few days before, it's accompanying planet will first pass close enough to the Earth to cause havoc on land and sea. They set about building a rocket so a few selected individuals can escape to the planet."
1890216,tt0273799,"Max Keeble's Big Move Max Keeble, the victim of his 7th grade class, plots revenge when he learns he's moving; it backfires when he doesn't move after all."
1894692,tt0240419,"La Cienaga Chekhov in contemporary Argentina. Mecha and Gregorio are at their rundown country place near La Ciénaga with their teen children. It's hot. The adults drink constantly; Mecha cuts herself, engendering a trip to the hospital and a visit from her son José. A cousin, Tali, brings her children. The kids are on their own, sunbathing by the filthy pool, dancing in town, running in the hills with shotguns, driving cars without licenses. One of the teen girls loves Isabel, a family servant constantly accused of stealing. Mother and son, son and sisters, teen and Isabel are in each other's beds and bathrooms with a creepy intimacy. With no adults paying attention, who's at risk?"
1897491,tt0058283,Lady in a Cage A woman trapped in a home elevator is terrorized by a group of vicious hoodlums.
1899942,tt0080474,Brubaker The new warden of a small prison farm in Arkansas tries to clean it up of corruption after initially posing as an inmate.
1904127,tt0080556,"The Competition The movie centers on a piano competition whose winner is assured of success. It is Paul's last chance to compete, but newcomer Heidi may be a better pianist. Can romance be far away? Will she take a dive despite the pressure to win from her teacher, Greta, or will she condemn Paul to obscurity?"
1908249,tt0080610,"The Last Metro In occupied Paris, an actress married to a Jewish theater owner must keep him hidden from the Nazis while doing both of their jobs."
1913937,tt0219965,Bandits Two bank robbers fall in love with the girl they've kidnapped.
1921140,tt0250310,"Corky Romano Corky Romano is a bumbling, simpleton, veterinarian and the youngest, outcast son of an aging gangster, named Pops Romano, who calls upon Corky to infiltrate the local FBI and retrieve and destroy evidence being used to incriminate Pops for racketeering charges."
1925799,tt0066999,"Dirty Harry When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself."
1928214,tt0227277,"Burnt Money Set in Argentina in 1965, the story follows the tumultuous relationship between two men who became lovers and ultimately ruthless bank robbers in a notoriously famous footnote in the annals of crime history. After a large-scale hold-up that turns bloody, the two men must flee. It is not long before the police are surrounding the building they are in and they must confront their demons to survive."
1931295,tt0246578,"Donnie Darko After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes."
1934427,tt0198781,"Monsters, Inc. James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world."
1935819,tt0267804,The One A sheriff's deputy fights an alternate universe version of himself who grows stronger with each alternate self he kills.
1939044,tt0177888,"King of the Jungle Seymore is a young man with the mind of a child. He loves three things in life: basketball, sneaking out for cigarettes, and his mother. But all life's simple pleasures are brutally torn from him when he witnesses his mother gunned down by a neighborhood punk.  Now Seymore must overcome the child within as he rises up to fight for some kind of justice. It's a fight that will take him out into the streets where there are few friends and many enemies -- and one of them is a killer who wants him silenced."
1943043,tt0241527,"Harry Potter and the Philosopher's Stone Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame."
1946958,tt0234354,Novocaine A dentist finds himself a murder suspect after a sexy patient seduces him into prescribing her drugs
1950870,tt0253798,"Out Cold Animal House meets Casablanca in this outrageous snowboarding comedy. Rick Rambis and his friends are having the time of their lives on Bull Mountain until the legendary Papa Muntz' son decides to sell the mountain to sleazy land developer John Majors, having the staff fired and turning Bull Mountain into 'Yuppieville'."
1954722,tt0266987,"Spy Game Veteran spy Nathan Muir is on the verge of retiring from the CIA when he learns that his one-time protégé and close friend, Tom Bishop, is a political prisoner sentenced to die in Beijing. Although their friendship has been marred by bad blood and resentment, Muir agrees to take on the most dangerous mission of his career and rescue Bishop."
1958304,tt0139951,"The Way We Laughed Studying to become a teacher in Turin, Italy, Pietro is joined by his older brother, Giovanni, who has moved up from Sicily. While Giovanni is a worker with no schooling, Pietro shows considerable promise in academics, prompting the elder sibling to seek employment to support his brother's academic pursuits. Unfortunately, things don't go well for Giovanni and Pietro, and they face significant hardships as they try to improve their lives."
1961961,tt0072747,"Bucktown Duke Johnson visits a small Southern town, intent on burying his brother. After the funeral, he learns that he must stay for 60 days, for the estate to be processed. A few locals convince Duke to reopen his late brother's nightclub, and soon the local redneck policemen are intimidating Duke with threats of violence. Duke refuses to pay the bribes they demand, so then he and his lady friend Aretha are threatened and attacked by the crooked cops. Rather than take them on himself, Duke calls on his old pal Roy. Roy brings a few buddies to Bucktown, and they bring justice to the small town. With the redneck cops out of the way, Duke lets his guard down. Then the situation gets out of hand again. Finally, Duke must settle the score himself."
1966344,tt0068168,"Across 110th Street In a daring robbery, some $300,000 is taken from the Italian mob. Several mafiosi are killed, as are two policemen. Lt. Pope and Mattelli are two New York City cops trying to break the case. Three small-time criminals are on the run with the money. Will the mafia catch them first, or will the police? Written by Ken Miller"
1969041,tt0053472,Breathless A young car thief kills a policeman and tries to persuade a girl to hide in Italy with him.
1971993,tt0074899,"Midway This war drama depicts the U.S. and Japanese forces in the naval Battle of Midway, which became a turning point for Americans during World War II."
1976802,tt0052415,"The Young Lions The Young Lions follows the lives of three soldiers: one German and two Americans, paralleling their experiences in World War II until they meet up at the end for a confrontation"
1981248,tt0090095,"Subway Fred, a raffish safe blower, takes refuge in the Paris Metro after being chased by the henchmen of a shady businessman from whom he has just stolen some documents. While hiding out in the back rooms and conduits of the Metro, Fred encounters a subterranean society of eccentric characters and petty criminals. Despite being pursued by the henchmen, Fred finds the time to flirt with Héléna, blow a safe, rob a train, evade the hapless Metro police, and start a rock band"
1983300,tt0024264,"Little Women Little Women is a ""coming of age"" drama tracing the lives of four sisters: Meg, Jo, Beth and Amy. During the American Civil War, the girls father is away serving as a minister to the troops. The family, headed by thier beloved Marmee, must struggle to make ends meet, with the help of their kind and wealthy neighbor, Mr. Laurence, and his high spirited grandson Laurie."
1987122,tt0051755,"I Bury the Living A newly appointed cemetery chairman discovers that, merely by inserting a black pin into a wall-sized map of the cemetery, he can cause the deaths of that plot's owner"
1989594,tt0089348,Invasion U.S.A. A one-man army comes to the rescue of the United States when a spy attempts an invasion.
1990628,tt0085862,"Lone Wolf McQuade The archetypical renegade Texas Ranger wages war against a drug kingpin with automatic weapons, his wits and martial arts after a gun battle leaves his partner dead. All of this inevitably culminates a martial arts showdown between the drug lord and the ranger, and involving the woman they both love."
1991948,tt0054135,Ocean's Eleven Ocean's Eleven is the 'Rat-Pack' comedy about robber Danny Ocean and his gang's attempt to rob the five biggest casinos in Las Vegas.
1995040,tt0093966,"The Sicilian Egocentric bandit Salvatore Guiliano fights the Church, the Mafia, and the landed gentry while leading a populist movement for Sicilian independence."
1996972,tt0081568,"The Stunt Man While on the run from the police, Steve Railsback hides in a group of moviemakers where he pretends to be a stunt man. Both aided and endangered by the director (Peter O'Toole) he avoids both the police and sudden death as a stuntman. The mixture of real danger and fantasy of the movie is an interesting twist for the viewer as the two blend in individual scenes."
2000320,tt0240772,"Ocean's Eleven Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess."
2003412,tt0050539,The Incredible Shrinking Man When exposure to a combination of radiation and insecticide causes Scott Carey to begin to shrink medical science is powerless to help him.
2004554,tt0283509,"No Man's Land Two soldiers from opposite sites get stuck between the front lines in the same trench. The UN is asked to free them and both sides agree on a ceasefire, but will they stick to it?"
2006652,tt0037515,"And Then There Were None Ten people are invited for a weekend on an island by a mysterious stranger, but it turns out he isn't present. At dinner a record is played which accuses each one of the guests of having committed a murder. They soon begin to realize a crazed killer is stalking them."
2008070,tt0020697,"The Blue Angel The Blue Angel follows Immanuel Rath (Emil Jannings) through a transformation from esteemed educator at the local Gymnasium (college preparatory high school) to a cabaret clown in Weimar Germany. Rath's descent begins when he punishes several of his students for circulating photographs of the beautiful Lola Lola (Marlene Dietrich) the headliner for the local cabaret, The Blue Angel. Hoping to catch the boys at the club, Professor Rath goes there later that evening and meets Lola herself. Consumed with desire and determined to remain at Lola's side, Rath returns to the night club the following evening (to return a pair of panties that were smuggled into his coat by one of his students) and stays the night with her. The next morning, reeling from his night of passion, Rath arrives late to school to find his classroom in chaos and the principal furious with his behavior."
2009282,tt0280778,"Iris True story of the lifelong romance between novelist Iris Murdoch and her husband John Bayley, from their student days through her battle with Alzheimer's disease."
2011326,tt0259393,"Lantana Plagued with grief over the murder of her daughter, Valerie Somers suspects that her husband John is cheating on her. When Valerie disappears, Detective Leon Zat attempts to solve the mystery of her absence. A complex web of love, sex and deceit emerges -- drawing in four related couples whose various partners are distrustful and suspicious about each other's involvement."
2013420,tt0089283,The Holcroft Covenant A man who was a confidant of Adolf Hitler dies and leaves a fortune to make amends for his Nazi past--but his son has to search the world to find it
2015628,tt0027532,"Dodsworth An adaptation of Sinclair Lewis' novel about a middle-aged American automobile tycoon who retires and goes to Europe, where he and his appearance-conscious, snobbish wife find differing sets of values... and new relationships."
2018418,tt0051201,"Witness for the Prosecution When Leonard Vole is arrested for the sensational murder of a rich, middle-aged widow, the famous Sir Wilfrid Robarts agrees to appear on his behalf. Sir Wilfrid, recovering from a near-fatal heart attack, is supposed to be on a diet of bland, civil suits – but the lure of the criminal courts is too much for him, especially when the case is so difficult."
2021606,tt0248667,"Ali In 1964, a brash new pro boxer, fresh from his olympic gold medal victory, explodes on to the scene; Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test."
2024712,tt0066585,"Wuthering Heights The Earnshaws are Yorkshire farmers during the early 19th Century. One day, Mr. Earnshaw returns from a trip to the city, bringing with him a ragged little boy called Heathcliff. Earnshaw's son, Hindley, resents the child, but Heathcliff becomes companion and soulmate to Hindley's sister, Catherine. After her parents die, Cathy and Heathcliff grow up wild and free on the Moors and despite the continued enmity between Hindley and Heathcliff they're happy-- until Cathy meets Edgar Linton, the son of a wealthy neighbor. Written by Marg Baskin"
2027734,tt0077289,California Suite Misadventures of four groups of guests at the Beverly Hills Hotel.
2031896,tt0083951,"The Flight of Dragons The realm of magic is being threatened by the realm of logic, so Carolinus, the green wizard decides to shield it for all time. Ommedon, the evil red wizard, stands in his way. Carolinus then calls for a quest that is to be led by a man named Peter Dickinson, who is the first man of both the realms of science and magic. It is Peters job to defeat Ommedon."
2034330,tt0082288,Dragonslayer The sorcerer and his apprentice Galen are on a mission to kill an evil dragon in order to save the King’s daughter from being sacrificed in accordance to a pact that the King himself made with the dragon to protect his kingdom. A fantasy film from Disney Studios that exhausted all possible visual effects of the time.
2035560,tt0085542,"Fire and Ice In this animated tale, a tiny village is destroyed by a surging glacier, which serves as the deadly domain for the evil Ice Lord, Nekron. The only survivor is a young warrior, Larn, who vows to avenge this act of destruction. The evil continues, however, as Nekron's palace of ice heads straight towards Fire Keep, the great fortress ruled by the good King Jarol. When Jarol's beautiful daughter, Teegra, is abducted by Nekron's sub-human ape-like creatures, Larn begins a daring search for her. What results is a tense battle between good and evil, surrounded by the mystical elements of the ancient past."
2036098,tt0080752,"Forbidden Zone A mysterious door in the basement of the Hercules house leads to the Sixth Dimension by way of a gigantic set of intestine. When Frenchy slips through the door, King Fausto falls in love with her. The jealous Queen Doris takes Frenchy prisoner, and it is up to the Hercules family and friend Squeezit Henderson to rescue her."
2037650,tt0080756,"Foxes A group of friends come of age in the asphalt desert of the San Fernando Valley set to a blazing soundtrack and endless drinking, drugs and sex."
2040370,tt0083511,"48 Hrs. A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer."
2042770,tt0243862,"Italian for Beginners This fifth Danish Dogme film is about six vulnerable individuals whose lives are interwoven. In a city suburb, a young minister arrives to take up duties at a local church. He is persuaded by his assistant to join an Italian night school class, and he soon becomes the centre of a group of people to whom fate has dealt quite serious blows. Gradually each one in the group manages to overcome his/her predicament and find a happy solution. This Dogma production was shown at the Berlinale in 2001 where it surprisingly won a silver medal."
2045332,tt0268696,"Time of Favor Is today's fanaticism tomorrow's policy? In a West Bank settlement, Rabbi Meltzer has a grand design: he's building a movement ""to pray at the Temple Mount."" His yeshiva has scholars, and the settlement is getting its own military company to be commanded by Menachem, a disciple of the rabbi. He also wants his daughter, Michal, to marry Pini, the yeshiva's best scholar. Michal has no interest in Pini, but she is attracted to Menachem. When she rebuffs Pini, he hatches a bold and secret plan. Is jealousy the motivation or something else? Meanwhile, the army and Moussad are closely watching the rabbi's activities and Menachem's military training. Who is trustworthy?"
2048430,tt0071691,"The Enigma of Kaspar Hauser The film follows Kaspar Hauser (Bruno S.), who lived the first seventeen years of his life chained in a tiny cellar with only a toy horse to occupy his time, devoid of all human contact except for a man who wears a black overcoat and top hat who feeds him."
2049930,tt0057071,4 for Texas Frank Sinatra plays a tough guy who hooks up with fellow rat packer Dean Martin to open a casino in this western.
2052436,tt0087751,"Mrs. Soffel Based on a true story, Mrs. Soffel is set in Pittsburgh near the dawn of the 20th century.  Peter Soffel (Edward Herrmann) is the warden of a top security prison, and his wife Kate (Diane Keaton) often comes by to read the Bible aloud to the inmates, despite her fragile health.  While making her rounds, she makes the acquaintance of the Biddle Brothers, Ed (Mel Gibson) and Jack (Matthew Modine), who are sentenced to death for murder and robbery.  Ed has become something of a celebrity thanks to his letter-writing campaign, in which he appeals in the letter-to-the-editor columns of the popular press to stay the execution of his brother and himself.  His good looks, intelligence, and charm make a strong impression on Kate, whose marriage offers her little excitement.  In time, Kate finds herself falling in love with Ed, and she discovers that she's unexpectedly receptive to his suggestion that she help him escape."
2054596,tt0060955,"Seconds A secret organisation offers wealthy people a second chance at life. The customer picks out someone they want to be and the organisation surgically alters the customer to look like the intended person, stages the customer's death, gets rid of the intended person and the customer takes on a new life."
2056616,tt0087233,"Falling in Love During shopping for Christmas, Frank and Molly run into each other. This fleeting short moment will start to change their lives, when they recognize each other months later in the train home and have a good time together. Although both are married and Frank has two little kids, they meet more and more often, their friendship becoming the most precious thing in their lives."
2058584,tt0047688,"Young at Heart When Alex enters the lives of the musical Tuttle family, each of the three daughters falls for him. He is charming, good looking and personable. Laurie and Alex seem made for each other and become engaged. When Barney comes into the picture to help Alex with some musical arrangements matters become complicated. He is seen as a challenge by Laurie, who can't believe anyone could be as cynical, and she is more than a match for his gloomy outlook on life."
2060520,tt0240900,"Slackers Dave, Sam and Jeff are about to graduate from Holden University with honors in lying, cheating and scheming. The three roommates have proudly scammed their way through the last four years of college and now, during final exams, these big-men-on-campus are about to be busted by the most unlikely dude in school. Self-dubbed Cool Ethan, an ambitious nerd with a bad crush, enters their lives one day and everything begins to unravel."
2063112,tt0071266,Caged Heat A girl is caught in a drug bust and sent to the hoosegow.
2063150,tt0060200,After the Fox Criminal mastermind 'The Fox' sets up a phony film production and masquerades as it's director as part of a plan to smuggle a stolen gold shipment into Italy.
2065940,tt0044391,"The Bad and the Beautiful Told in flashback form, the film traces the rise and fall of a tough, ambitious Hollywood producer Jonathan Shields, as seen through the eyes of various acquaintances, including a writer James Lee Bartlow, a star Georgia Lorrison and a director Fred Amiel. He is a hard-driving, ambitious man who ruthlessly uses everyone - including the writer, star and director - on the way to becoming one of Hollywood's top movie makers."
2068520,tt0060218,Cast a Giant Shadow An American Army officer is recruited by the yet to exist Israel to help them form an army. He is disturbed by this sudden appeal to his jewish roots. Each of Israel's Arab neighbors has vowed to invade the poorly prepared country as soon as partition is granted. He is made commander of the Israeli forces just before the war begins.
2071710,tt0073026,"Funny Lady 1930s in New York – The famous singer Fanny Brice has divorced her first husband Nicky Arnstein. During the depression she has trouble finding work as an artist but meets Billy Rose, a newcomer who writes lyrics and owns his own nightclub."
2074140,tt0069281,"Sleuth The mystery stage play by Anthony Shaffer was adapted by the author into this stylish film from director Joseph L. Manciewicz. Laurence Olivier stars as Andrew Wyke, a best-selling author of detective fiction living in a grand 16th century mansion. Andrew is visited by Milo Tindle (Michael Caine), owner of a hair salon chain, and reveals to his guest that he's aware of Milo's affair with his wife Marguerite. Rather than being vengeful, however, Andrew professes he's glad to be rid of his troublesome spouse. To avoid paying heavy alimony, Andrew suggests that Milo disguise himself as a clown and steal his wife's expensive jewelry. That way Marguerite and Milo can obtain financial security while Andrew claims the loss on his insurance and all walk away rich. Andrew's plan is a devious one, however, designed to toy with his wife's lover, and a series of deceptions and counter-deceptions are launched in which nothing is as it seems."
2077860,tt0075276,"Stroszek Bruno Stroszek is released from prison and warned to stop drinking. He has few skills and fewer expectations: with a glockenspiel and an accordion, he ekes out a living as a street musician. He befriends Eva, a prostitute down on her luck and they join his neighbor, Scheitz, an elderly eccentric, when he leaves Germany to live in Wisconsin."
2078872,tt0067803,"Summer of '42 Silent as a painting, the movie shows us day-dreamer Hermie and his friends Oscy and Benjie spending the summer of '42 on an US island with their parents - rather unaffected by WWII. While Oscy's main worries are the when and how of getting laid, Hermie honestly falls in love with the older Dorothy, who's married to an army pilot. When her husband returns to the front, Hermie shyly approaches her. Written by Bob Dawson"
2080786,tt0050294,"The Deadly Mantis The calving of an Arctic iceberg releases a giant praying mantis, trapped in suspended animation since prehistoric times. It first attacks military outposts to eat their occupants, then makes its way to the warmer latitudes of Washington and New York. A paleontologist works together with military units to try to kill it. (copied from IMDB)"
2082312,tt0238546,"Queen of the Damned Lestat de Lioncourt is awakened from his slumber. Bored with his existence he has now become this generations new Rock God. While in the course of time, another has arisen, Akasha, the Queen of the Vampires and the Dammed. He want's immortal fame, his fellow vampires want him eternally dead for his betrayal, and the Queen want's him for her King. Who will be the first to reach him? Who shall win?"
2083750,tt0074174,"The Bad News Bears An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league."
2086496,tt0048310,The Lone Ranger The territorial governor asks the Lone Ranger to investigate mysterious raids on settlers by Indians who ride with saddles. Wealthy rancher Reese Kilgore wants to mine silver on Spirit Mountain which is sacred to the Indians.
2090392,tt0050986,"Wild Strawberries Professor of medicine Isak Borg travels to Lund University in order to receive his anniversary title. Along the road he meets strangers and relatives, and in his dreams he is confronted with his own past as well as fear of insufficiency."
2092116,tt0124185,"Under the Skin Although married and pregnant Rose has always been Mother's favorite, it is younger sister Iris whose life is shaken up by Mother's death. Suffocating, Iris spirals out of control and copes by losing herself in sexual oblivion. She leaves her steady, Gary, for a steady stream of one night stands in the arms of mysterious strangers, alienating Gary, Rose, her friends, and her employers in the process. Will this go on until she loses everything that is meaningful to her?"
2092702,tt0277434,We Were Soldiers The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.
2094924,tt0085380,"Cross Creek The portrait of a woman who, at the edge of survival, found a world of meaning."
2097684,tt0104254,"FernGully: The Last Rainforest When a sprite named Crysta shrinks a human boy, Zak, down to her size, he vows to help the magical fairy folk stop a greedy logging company from destroying their home, the pristine rainforest known as FernGully. Zak and his new friends fight to defend FernGully from lumberjacks -- and the vengeful spirit they accidentally unleash after chopping down a magic tree."
2099230,tt0278295,"All About the Benjamins Bucum Jackson (Cube) is a bounty hunter with a lot of attitude and no interest in taking on a partner. Working at Martinez Bail Bonds, Jackson has unorthodox methods of tracking down low-life criminals, but they work, and one day he hopes to become his own boss and open up his own private investigation firm. Reggie Wright (Epps) is a slippery con artist who is avoiding the law, and Jackson. During a cat and mouse chase, the two stumble on a multi-million dollar diamond heist. Hiding from Jackson, Wright finds himself in the thieves' getaway van and ends up having to escape from them after they discover their booty is fake, much to the displeasure of their ruthless boss (Flanagan). When Wright meets up with his girlfriend (Mendes), he discovers that his recently purchased lottery ticket is the sole winner of $60 million. Unfortunately, his wallet, which held the ticket, was left in the thieves' van, so he persuades Jackson to help him get it back."
2102710,tt0080798,"Gloria When a young boy's family is killed by the mob, their tough neighbor Gloria becomes his reluctant guardian. In possession of a book that the gangsters want, the pair go on the run in New York."
2105122,tt0080904,Humanoids from the Deep They're not human. But they hunt human women. Not for killing. For mating.
2106378,tt0081060,Little Darlings Two 15-year old girls from different sides of the tracks compete to see who will be first to lose their virginity while at camp.
2107952,tt0081070,"The Long Good Friday In the late 1970s, Cockney crime boss Harold Shand, a gangster trying to become a legitimate property mogul, has big plans to get the American Mafia to bankroll his transformation of a derelict area of London into the possible venue for a future Olympic Games. However, a series of bombings targets his empire on the very weekend the Americans are in town. Shand is convinced there is a traitor in his organization, and sets out to eliminate the rat in typically ruthless fashion."
2110028,tt0081237,"The Ninth Configuration Col. Vincent Kane is a military psychiatrist who takes charge of an army mental hospital situated in a secluded castle. Among Kane's many eccentric patients is Capt. Billy Cutshaw, a troubled astronaut in the midst of an existential crisis. Although Kane's own grasp on sanity is questionable, he manages to engage Cutshaw in a series of thoughtful conversations about science and faith that deeply affect the lives of both men."
2112586,tt0076489,"Oh, God! When God appears to an assistant grocery manager as a good natured old man, the Almighty selects him as his messenger for the modern world."
2115154,tt0268380,"Ice Age With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims."
2116558,tt0284490,Showtime A spoof of buddy cop movies where two very different cops are forced to team up on a new reality based T.V. cop show.
2119930,tt0256259,"Pauline & Paulette Pauline is a 'little girl of 66 years old'. She is mentally retarded and been cared after by her sister Martha. When Martha dies, her two younger sisters, Paulette and Cecile have to make a decision on the best place for Pauline to be looked after. Neither of them is ready to take care of her. Paulette has a shop to look after and Cecile has her Albert. But according to Martha's last will, her fortune will only be divided in three equal parts if one of the sisters looks after Pauline. If they decide to take her to an institution, Pauline will be the only heir."
2121296,tt0055774,"Barabbas Epic account of the thief Barabbas, who was spared crucifixion when Pilate manipulated the crowd into pardoning him, rather than Jesus. Struggling with his spirituality, Barabbas goes through many ordeals leading him to the gladiatorial arena, where he tries to win his freedom and confront his inner demons, ultimately becoming a follower of the man who was crucified in his place."
2123282,tt0105459,"Split Second In a futuristic London, the rising sea levels mean that large areas are under feet of water. Hauer plays a cop who previously lost his partner to some strange creature. Now the creature is back and its after him."
2124902,tt0081480,"Seems Like Old Times Writer Nick Gardenia is kidnapped from his California cliffhouse and forced to rob a bank. Now a fugitive, he seeks help from his ex, Glenda. She is a public defender remarried to a prosecutor, and we get a houseful of hijinks."
2127520,tt0081614,Tender Cousins Teenage Julien (Thierry Tevini) loves his teenage cousin Julia (Anja Shute) among flowers in summer of '39 France.
2129640,tt0055200,"Mr. Sardonicus A search for a winning lottery ticket in his dead father's grave causes Sardonicus' face to freeze in a horrible grimace, until he forces a doctor to treat his affliction--with even more grotesque results! The audience gets an opportunity to vote--via the ""Punishment Poll""--for the penalty Sardonicus must pay for his deeds..."
2131664,tt0266452,"Death to Smoochy Tells the story of Rainbow Randolph, the corrupt, costumed star of a popular children's TV show, who is fired over a bribery scandal and replaced by squeaky-clean Smoochy, a puffy fuscia rhinoceros. As Smoochy catapults to fame - scoring hit ratings and the affections of a network executive - Randolph makes the unsuspecting rhino the target of his numerous outrageous attempts to exact revenge and reclaim his status as America's sweetheart."
2134316,tt0258000,"Panic Room Trapped in their New York brownstone's panic room, a hidden chamber built as a sanctuary in the event of break-ins, newly divorced Meg Altman and her young daughter Sarah play a deadly game of cat-and-mouse with three intruders - Burnham, Raoul and Junior - during a brutal home invasion. But the room itself is the focal point because what the intruders really want is inside it."
2136262,tt0279065,Time Out An unemployed man finds his life sinking more and more into trouble as he hides his situation from his family and friends.
2139146,tt0257756,"High Crimes High powered lawyer Claire Kubik finds her world turned upside down when her husband, who she thought was Tom Kubik, is arrested and is revealed to be Ron Chapman. Chapman is on trial for a murder of Latin American villagers while he was in the Marines. Claire soon learns that to navigate the military justice system, she'll need help from the somewhat unconventional Charlie Grimes."
2142444,tt0039204,"Body and Soul Charley Davis, against the wishes of his mother, becomes a boxer. As he becomes more successful the fighter becomes surrounded by shady characters, including an unethical promoter named Roberts, who tempt the man with a number of vices. Charley finds himself faced with increasingly difficult choices."
2144996,tt0058100,"First Men in the Moon Based on the HG Wells story. The world is delighted when a space craft containing a crew made up of the world's astronauts lands on the moon, they think for the first time. But the delight turns to shock when the astronauts discover an old British flag and a document declaring that the moon is taken for Queen Victoria proving that the astronauts were not the first men on the moon."
2146812,tt0264616,"Frailty A man confesses to an FBI agent his family's story of how his religious fanatic father's visions lead to a series of murders to destroy supposed ""demons."""
2148894,tt0095989,Return of the Killer Tomatoes! Crazy old Professor Gangreen has developed a way to make tomatoes look human for a second invasion.
